                                          OR  CI_lower  CI_upper
const                               1.639956  1.506168  1.785627
age                                 1.344774  1.325204  1.364633
gender_Other                        1.083791  0.978253  1.200715
ethnicity_Other                     1.061136  0.983076  1.145395
screen_time_hours_per_day           1.036054  1.021250  1.051072
education_level_No formal           1.008865  0.942264  1.080172
alcohol_consumption_per_week        1.001150  0.986855  1.015652
sleep_hours_per_day                 0.998449  0.984196  1.012908
gender_Male                         0.997360  0.968781  1.026782
ethnicity_White                     0.997344  0.951699  1.045178
education_level_Highschool          0.997278  0.965460  1.030144
smoking_status_Never                0.989018  0.953025  1.026370
employment_status_Unemployed        0.988926  0.944853  1.035055
smoking_status_Former               0.988691  0.944763  1.034662
ethnicity_Black                     0.988676  0.937037  1.043160
education_level_Postgraduate        0.986100  0.943295  1.030847
ethnicity_Hispanic                  0.977718  0.927632  1.030509
employment_status_Student           0.975592  0.918131  1.036649
income_level_Lower-Middle           0.964825  0.898947  1.035531
employment_status_Retired           0.961905  0.927960  0.997092
income_level_Low                    0.959332  0.890316  1.033697
income_level_Middle                 0.941951  0.879128  1.009264
income_level_Upper-Middle           0.938388  0.873007  1.008666
diet_score                          0.911397  0.898355  0.924628
physical_activity_minutes_per_week  0.810393  0.798860  0.822093
